id_caso,anio,mes,dia,codigo_dane_de_municipio,municipio,departamento,region,modalidad,presunto_responsable,descripcion_presunto_responsable,abandono_o_despojo_forzado_de_tierras,amenaza_o_intimidacion,ataque_contra_mision_medica,confinamiento_o_restriccion_a_la_movilidad,desplazamiento_forzado,extorsion,lesionados_civiles,pillaje,tortura,total_victimas_caso,forma_vinculacion,tipo_vinculacion,latitud_longitud,anio_valido,mes_valido,dia_valido,decada,latitud,longitud,alto_impacto,total_hechos
152.888,2.004,4,0,05585,PUERTO NARE,ANTIOQUIA,MAGDALENA MEDIO,PERSUASIÓN,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,0,1,0,0,0,0,0,0,0,1,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-74.5716887665 6.2194810893),2004,4,,2000-2009,6.2194810893,-74.5716887665,0,1
207.556,2.001,4,25,05756,SONSON,ANTIOQUIA,ORIENTE ANTIOQUEÑO,PERSUASIÓN,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,0,1,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-74.82807326 5.837681474),2001,4,25,2000-2009,5.837681474,-74.82807326,0,1
209.268,0.0,0,0,05234,DABEIBA,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-76.31426328 6.992243782),,,,SIN INFORMACION,6.992243782,-76.31426328,0,0
225.057,1.988,0,0,68689,SAN VICENTE DE CHUCURI,SANTANDER,MAGDALENA MEDIO,COACCIÓN,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-73.53900334 6.894292346),1988,,,1980-1989,6.894292346,-73.53900334,0,0
228.661,1.998,2,15,66456,MISTRATO,RISARALDA,EJE CAFETERO,PERSUASIÓN,GUERRILLA,ERG,0,0,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-75.90432634 5.416268487),1998,2,15,1990-1999,5.416268487,-75.90432634,0,0
229.622,1.993,1,11,50001,VILLAVICENCIO,META,PIEDEMONTE LLANERO,ENGAÑO,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-73.627486 4.127404),1993,1,11,1990-1999,4.127404,-73.627486,0,0
236.057,1.998,2,16,05660,SAN LUIS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,PERSUASIÓN,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-74.80691316 6.063828223),1998,2,16,1990-1999,6.063828223,-74.80691316,0,0
238.584,1.998,12,1,66594,QUINCHIA,RISARALDA,EJE CAFETERO,PERSUASIÓN,GUERRILLA,DISIDENCIA EPL,0,0,0,0,0,0,0,0,0,1,INDIVIDUAL,RECLUTAMIENTO,POINT (-75.7304126 5.34044568),1998,12,1,1990-1999,5.34044568,-75.7304126,0,0
244.955,2.0,4,15,05837,TURBO,ANTIOQUIA,URABA,COACCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,1,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-76.5740377 8.173851745),2000,4,15,2000-2009,8.173851745,-76.5740377,1,1
252.216,2.001,7,1,73001,IBAGUE,TOLIMA,NORTE DEL TOLIMA,PERSUASIÓN,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,0,0,0,0,0,0,0,0,0,1,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-75.252591 4.451921427),2001,7,1,2000-2009,4.451921427,-75.252591,0,0
