variable,tipo_limpio,nulos_raw_pct,nulos_limpio_pct,valores_unicos_limpio
anio_valido,Int64,,100.0,0
dia_valido,Int64,,69.57,31
mes_valido,Int64,,67.31,12
abandono_o_despojo_forzado_de_tierras,int64,0.0,0.0,2
alto_impacto,int64,,0.0,2
amenaza_o_intimidacion,int64,0.0,0.0,2
anio,float64,0.0,0.0,51
ataque_contra_mision_medica,int64,0.0,0.0,1
codigo_dane_de_municipio,str,0.0,0.0,833
confinamiento_o_restriccion_a_la_movilidad,int64,0.0,0.0,2
decada,str,,0.0,1
departamento,string,0.0,0.0,35
descripcion_presunto_responsable,str,0.0,0.0,33
desplazamiento_forzado,int64,0.0,0.0,2
dia,int64,0.0,0.0,32
extorsion,int64,0.0,0.0,2
forma_vinculacion,string,0.0,0.0,7
id_caso,float64,0.0,0.0,17201
latitud,float64,,0.0,995
latitud_longitud,str,0.0,0.0,997
lesionados_civiles,int64,0.0,0.0,2
longitud,float64,,0.0,995
mes,int64,0.0,0.0,13
modalidad,string,0.0,0.0,5
municipio,string,0.0,0.0,765
pillaje,int64,0.0,0.0,5
presunto_responsable,string,0.0,0.0,11
region,string,0.16,0.0,76
tipo_vinculacion,string,0.0,0.0,5
tortura,int64,0.0,0.0,6
total_hechos,int64,,0.0,7
total_victimas_caso,int64,0.0,0.0,17
id_caso_relacionado,eliminada,97.85,,0
otro_hecho_simultaneo,eliminada,99.79,,0
violencia_basada_en_genero,eliminada,99.95,,0
