prueba,grupo,n,media,mediana
kruskal_responsable,GUERRILLA,4298,1.1557,1.0
kruskal_responsable,GRUPO PARAMILITAR,1820,1.1203,1.0
kruskal_responsable,GRUPO ARMADO NO IDENTIFICADO,1482,1.0256,1.0
kruskal_responsable,GRUPO POSDESMOVILIZACIÓN,259,1.1699,1.0
kruskal_responsable,AGENTE DEL ESTADO,12,1.1667,1.0
kruskal_region,ARIARI GUAYABERO,1466,1.0423,1.0
kruskal_region,URABA,956,1.0303,1.0
kruskal_region,MAGDALENA MEDIO,800,1.035,1.0
kruskal_region,FLORENCIA Y AREA DE INFLUENCIA,586,1.0085,1.0
kruskal_region,CAGUAN,570,1.0333,1.0
kruskal_region,SUR DEL TOLIMA,559,1.0161,1.0
kruskal_region,ANDEN PACIFICO SUR,541,1.0665,1.0
kruskal_region,SIERRA NEVADA DE SANTA MARTA,528,1.0814,1.0
