variable,categoria,casos,porcentaje
presunto_responsable,DESCONOCIDO,9314,54.15
presunto_responsable,GUERRILLA,4298,24.99
presunto_responsable,GRUPO PARAMILITAR,1820,10.58
presunto_responsable,GRUPO ARMADO NO IDENTIFICADO,1482,8.62
presunto_responsable,GRUPO POSDESMOVILIZACIÓN,259,1.51
presunto_responsable,AGENTE DEL ESTADO,12,0.07
presunto_responsable,GRUPO ARMADO NO DIRIMIDO,8,0.05
presunto_responsable,BANDOLERISMO,3,0.02
presunto_responsable,OTRO ¿CUÁL?,3,0.02
presunto_responsable,CRIMEN ORGANIZADO,1,0.01
presunto_responsable,AGENTE DEL ESTADO - GRUPO PARAMILITAR,1,0.01
