variable,categoria,casos,porcentaje
modalidad,DESCONOCIDA,8311,48.32
modalidad,PERSUASIÓN,6818,39.64
modalidad,COACCIÓN,2043,11.88
modalidad,ENGAÑO,26,0.15
modalidad,OTRA ¿CUÁL?,3,0.02
tipo_vinculacion,SIN INFORMACIÓN,13733,79.84
tipo_vinculacion,RECLUTAMIENTO,3025,17.59
tipo_vinculacion,UTILIZACIÓN,401,2.33
tipo_vinculacion,UTILIZACIÓN EN ACTIVIDADES MILITARES O INTELIGENCIA,29,0.17
tipo_vinculacion,"UTILIZACIÓN EN ACTIVIDADES DOMÉSTICAS, DE TRANSPORTE O MENSAJERÍA",13,0.08
forma_vinculacion,SIN INFORMACIÓN,16183,94.08
forma_vinculacion,INDIVIDUAL,644,3.74
forma_vinculacion,MÚLTIPLE,272,1.58
forma_vinculacion,COLECTIVO,99,0.58
forma_vinculacion,OFRECIMIENTO LABORAL,1,0.01
forma_vinculacion,ASALTO,1,0.01
forma_vinculacion,CITACIÓN,1,0.01
departamento,ANTIOQUIA,2749,15.98
departamento,SIN INFORMACION,2413,14.03
departamento,META,1513,8.8
departamento,CAQUETA,1263,7.34
departamento,CAUCA,776,4.51
departamento,TOLIMA,741,4.31
departamento,NARIÑO,629,3.66
departamento,PUTUMAYO,533,3.1
departamento,CHOCO,498,2.9
departamento,ARAUCA,488,2.84
departamento,BOLIVAR,482,2.8
departamento,GUAVIARE,475,2.76
departamento,CORDOBA,445,2.59
departamento,SANTANDER,434,2.52
departamento,CESAR,403,2.34
departamento,VALLE DEL CAUCA,350,2.03
departamento,CASANARE,331,1.92
departamento,NORTE DE SANTANDER,326,1.9
departamento,MAGDALENA,305,1.77
departamento,CUNDINAMARCA,303,1.76
departamento,HUILA,271,1.58
departamento,BOYACA,260,1.51
departamento,CALDAS,255,1.48
departamento,SUCRE,182,1.06
departamento,RISARALDA,170,0.99
departamento,VICHADA,163,0.95
departamento,"BOGOTA, D. C.",114,0.66
departamento,LA GUAJIRA,111,0.65
departamento,VAUPES,69,0.4
departamento,GUAINIA,54,0.31
departamento,ATLANTICO,37,0.22
departamento,QUINDIO,31,0.18
departamento,AMAZONAS,24,0.14
departamento,EXTERIOR,2,0.01
departamento,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1,0.01
region,SIN INFORMACION,2415,14.04
region,ARIARI GUAYABERO,1466,8.52
region,URABA,956,5.56
region,MAGDALENA MEDIO,800,4.65
region,FLORENCIA Y AREA DE INFLUENCIA,586,3.41
region,CAGUAN,570,3.31
region,SUR DEL TOLIMA,559,3.25
