id_caso,anio,mes,dia,codigo_dane_de_municipio,municipio,departamento,region,modalidad,presunto_responsable,descripcion_presunto_responsable,abandono_o_despojo_forzado_de_tierras,amenaza_o_intimidacion,ataque_contra_mision_medica,confinamiento_o_restriccion_a_la_movilidad,desplazamiento_forzado,extorsion,lesionados_civiles,pillaje,tortura,total_victimas_caso,forma_vinculacion,tipo_vinculacion,latitud_longitud,anio_valido,mes_valido,dia_valido,decada,latitud,longitud,alto_impacto,total_hechos
244.955,2.0,4,15,05837,TURBO,ANTIOQUIA,URABA,COACCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,1,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-76.5740377 8.173851745),2000,4,15,2000-2009,8.173851745,-76.5740377,1,1
253.262,2.001,9,10,17541,PENSILVANIA,CALDAS,EJE CAFETERO,PERSUASIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-75.16683996 5.407187836),2001,9,10,2000-2009,5.407187836,-75.16683996,1,0
254.148,2.001,10,28,73283,FRESNO,TOLIMA,NORTE DEL TOLIMA,PERSUASIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-75.035722 5.153576),2001,10,28,2000-2009,5.153576,-75.035722,1,0
301.816,1.984,9,6,41298,GARZON,HUILA,SUR DEL HUILA,PERSUASIÓN,GUERRILLA,M19,0,0,0,0,0,0,0,0,0,150,COLECTIVO,RECLUTAMIENTO,POINT (-75.57131243 2.172441496),1984,9,6,1980-1989,2.172441496,-75.57131243,1,0
301.983,2.003,1,1,99773,CUMARIBO,VICHADA,ALTILLANURA,DESCONOCIDA,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,3,MÚLTIPLE,SIN INFORMACIÓN,POINT (-69.52140483 4.262454746),2003,1,1,2000-2009,4.262454746,-69.52140483,1,0
302.141,2.01,12,1,97161,CARURU,VAUPES,AMAZONIA SUR-ORIENTAL,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-71.33093035 1.052762314),2010,12,1,2010-2019,1.052762314,-71.33093035,1,0
302.157,2.006,2,16,97001,MITU,VAUPES,AMAZONIA SUR-ORIENTAL,DESCONOCIDA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-70.46688401 1.06148231),2006,2,16,2000-2009,1.06148231,-70.46688401,1,0
302.166,2.009,10,1,97001,MITU,VAUPES,AMAZONIA SUR-ORIENTAL,DESCONOCIDA,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-70.46688401 1.06148231),2009,10,1,2000-2009,1.06148231,-70.46688401,1,0
302.172,2.007,12,8,97001,MITU,VAUPES,AMAZONIA SUR-ORIENTAL,COACCIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-70.46688401 1.06148231),2007,12,8,2000-2009,1.06148231,-70.46688401,1,0
302.174,2.007,8,23,97001,MITU,VAUPES,AMAZONIA SUR-ORIENTAL,COACCIÓN,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-70.46688401 1.06148231),2007,8,23,2000-2009,1.06148231,-70.46688401,1,0
