variable,count,mean,std,min,25%,50%,75%,max
id_caso,17201.0,328.3437183303297,82.93367978131343,35.787,306.64,311.342,315.896,878.753
anio,17201.0,0.7021111563281204,0.9562808277283205,0.0,0.0,0.0,2.002,2.024
mes,17201.0,1.9773850357537353,3.515862747497241,0.0,0.0,0.0,2.0,12.0
dia,17201.0,3.6509505261322017,7.6849456692595295,0.0,0.0,0.0,1.0,31.0
abandono_o_despojo_forzado_de_tierras,17201.0,0.0011045869426196152,0.03321793159635515,0.0,0.0,0.0,0.0,1.0
amenaza_o_intimidacion,17201.0,0.011685367129818033,0.10746855711250342,0.0,0.0,0.0,0.0,1.0
ataque_contra_mision_medica,17201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confinamiento_o_restriccion_a_la_movilidad,17201.0,0.0005232253938724493,0.022868800432557377,0.0,0.0,0.0,0.0,1.0
desplazamiento_forzado,17201.0,0.0058717516423463754,0.07640427704914499,0.0,0.0,0.0,0.0,1.0
extorsion,17201.0,0.0004069530841230161,0.020169559334423593,0.0,0.0,0.0,0.0,1.0
lesionados_civiles,17201.0,0.0002906807743735829,0.017047380273622577,0.0,0.0,0.0,0.0,1.0
pillaje,17201.0,0.001685948491366781,0.07736620389711908,0.0,0.0,0.0,0.0,8.0
tortura,17201.0,0.0027323992791116795,0.12172967984619958,0.0,0.0,0.0,0.0,11.0
total_victimas_caso,17201.0,1.057031567932097,1.252185346259542,1.0,1.0,1.0,1.0,150.0
anio_valido,6025.0,2004.4836514522822,5.23537359995292,1962.0,2002.0,2004.0,2007.0,2024.0
mes_valido,5623.0,6.048906277787657,3.6312007840936116,1.0,3.0,6.0,9.0,12.0
dia_valido,5234.0,11.99847153228888,9.692185774202184,1.0,1.0,11.0,20.0,31.0
latitud,17201.0,4.8441320949734665,2.638104546158209,-3.530058784,2.975771999,4.005034467,6.894292346,12.54311512
longitud,17201.0,-74.37086496824524,1.9312466664566523,-81.71762382,-75.86793893,-74.52123595,-72.5903846,-67.487095
alto_impacto,17201.0,0.022905645020638334,0.14960707759457004,0.0,0.0,0.0,0.0,1.0
total_hechos,17201.0,0.022208011162141737,0.2031033274285819,0.0,0.0,0.0,0.0,6.0
